id,species,links,predators,herbivores,latitude,longitude
3259,20,60,41,19,-81.261573,31.460082
947,19,58,45,13,-122.36325,38.003734
1261,13,17,4,13,-74.3416666666667,44.3416666666667
1237,45,212,140,72,-75.0680555555556,43.5513888888889
1259,41,169,77,92,-74.7388888888889,45.6361111111111
1243,35,102,35,67,-74.7622222222222,43.6233333333333
1231,22,58,34,24,-75.0211111111111,44.0227777777778
1238,16,25,10,15,-74.8197222222222,43.8625
1258,22,36,2,34,-74.8813888888889,43.8438888888889
1223,15,19,10,9,-75.0633333333333,45.53
88,46,131,126,5,-41.38671,-58.230498
92,29,203,195,8,NA,NA
96,16,61,61,0,-2.666583,61.219111
98,14,23,20,3,168.656502,7.916452
99,9,15,11,4,NA,NA
100,14,32,30,2,NA,NA
102,29,65,64,1,NA,NA
103,19,52,46,6,NA,NA
1280,14,83,83,0,NA,NA
2463,50,269,165,104,-89.4974112,46.25131
2464,50,246,123,123,-89.4974112,46.25131
924,15,26,22,4,23.0625,-34.123589
1102,23,141,135,6,120.433333,22.45
890,14,25,25,0,NA,NA
1115,26,70,41,29,"[-8.64527777777778, 42.2936111111111]","[-8.5725, 42.3430555555556]"
1454,31,131,95,36,-101.046,50.4218
1456,47,157,69,88,-101.046,50.4218
1457,57,178,93,85,-101.046,50.4218
1455,17,33,24,9,-101.046,50.4218
1468,8,25,20,5,9.384479,47.628224
1469,6,7,7,0,-123.816401,48.059156
1475,16,42,16,26,2.741469,42.125707
1493,9,13,9,4,-1.451736,53.378291
1511,17,32,30,2,NA,NA
1518,20,80,46,34,-96.8,33.8833333
1520,22,48,23,25,0.01959270300017,52.120205609174
1591,7,8,4,4,-88.0,40.0
1596,24,108,58,50,9.3471334,47.6477935
1678,24,72,0,72,11.583333333333,-0.1666667
1443,19,22,22,0,-106.7829,37.8642
